@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
72,6,5,28,0,0,?
91,6,2,29,0,0,?
59,0,3,0,0,0,?
38,0,1,0,0,0,?
40,1,1,2,0,0,?
40,1,1,1,0,0,?
40,1,1,2,0,0,?
40,1,1,2,0,0,?
38,0,1,0,0,0,?
89,10,5,20,0,0,?
37,0,1,1,0,0,?
77,9,2,25,0,0,?
147,5,12,34,0,0,?
33,0,1,0,0,0,?
33,0,1,0,0,0,?
38,1,1,0,0,0,?
38,1,1,0,0,0,?
38,1,1,0,0,0,?
44,0,3,0,0,0,?
33,0,1,0,0,0,?
38,0,3,0,0,0,?
38,1,1,0,0,0,?
38,1,1,0,0,0,?
38,1,1,0,0,0,?
43,0,3,0,0,0,?
106,15,6,52,0,0,?
38,1,1,1,0,0,?
31,0,0,0,0,0,?
55,4,1,4,0,0,?
43,1,2,3,0,0,?
40,1,1,2,0,0,?
56,1,2,3,0,1,?
30,0,1,0,0,0,?
30,0,1,0,0,0,?
32,0,0,0,0,0,?
55,1,2,3,0,1,?
30,0,1,0,0,0,?
39,1,1,1,0,0,?
75,5,3,14,0,0,?
57,3,2,8,0,0,?
60,4,2,8,0,0,?
59,4,2,10,0,0,?
60,1,1,1,0,0,?
47,1,4,1,0,0,?
42,1,1,2,0,0,?
43,1,2,1,0,0,?
34,0,1,0,0,0,?
78,7,2,10,0,0,?
38,1,1,1,0,0,?
58,3,1,4,0,0,?
42,0,1,1,0,0,?
57,2,4,0,0,0,?
32,0,1,0,0,0,?
57,5,1,6,0,0,?
31,0,1,0,0,0,?
57,5,1,7,0,0,?
70,6,2,12,0,0,?
37,0,1,1,0,0,?
44,0,1,0,0,0,?
43,2,1,2,0,0,?
38,0,1,1,0,0,?
45,0,1,0,0,0,?
41,2,1,2,0,0,?
53,2,1,2,0,0,?
42,3,1,3,0,0,?
76,5,4,5,0,1,?
32,1,1,0,0,0,?
84,9,4,11,1,2,?
8,0,1,0,0,0,?
36,0,1,1,0,0,?
42,2,1,2,0,0,?
64,5,4,4,0,0,?
39,1,1,2,0,0,?
64,4,2,6,0,0,?
66,0,1,1,0,0,?
54,2,4,0,0,0,?
30,0,1,0,0,0,?
56,4,1,5,0,0,?
41,1,2,0,0,0,?
30,0,1,0,0,0,?
56,4,1,5,0,0,?
81,8,3,18,0,0,?
43,0,1,1,0,0,?
43,0,1,0,0,0,?
41,2,1,2,0,0,?
43,0,1,1,0,0,?
43,0,1,0,0,0,?
41,2,1,2,0,0,?
