@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
20,0,0,0,0,0,?
58,0,4,0,0,0,?
170,8,15,20,0,6,?
73,1,2,0,0,0,?
73,1,2,0,0,0,?
140,18,9,43,0,1,?
32,0,1,0,0,0,?
185,11,9,20,0,11,?
111,6,5,18,0,4,?
48,1,2,0,0,0,?
22,0,0,0,0,0,?
74,0,5,0,0,0,?
42,0,1,0,0,0,?
64,0,1,0,0,0,?
332,22,19,77,0,20,?
23,0,0,0,0,0,?
101,4,8,6,0,2,?
127,6,9,16,0,5,?
534,18,38,70,0,9,?
54,1,2,9,0,1,?
243,23,10,42,0,12,?
100,0,6,6,0,2,?
20,0,0,0,0,0,?
44,0,1,0,0,0,?
146,9,9,30,0,1,?
61,0,1,0,0,0,?
21,0,0,0,0,0,?
53,0,4,1,0,0,?
263,19,17,33,0,8,?
55,1,2,6,0,0,?
892,86,64,238,0,44,?
127,10,8,25,0,2,?
110,7,4,15,0,5,?
23,0,0,0,0,0,?
225,13,16,42,0,11,?
95,6,8,16,0,1,?
56,1,2,0,0,0,?
54,1,2,0,0,0,?
65,2,3,0,0,0,?
56,1,2,0,0,0,?
57,1,2,0,0,0,?
57,1,2,0,0,0,?
47,0,1,0,0,0,?
143,5,10,19,0,3,?
21,0,0,0,0,0,?
45,1,3,1,0,0,?
82,4,2,11,0,2,?
85,4,4,13,0,5,?
415,35,27,101,0,23,?
20,0,0,0,0,0,?
20,0,0,0,0,0,?
73,1,6,5,0,0,?
120,5,9,4,0,2,?
53,0,2,1,0,0,?
63,6,3,12,1,1,?
43,0,1,0,0,0,?
37,0,1,0,0,0,?
59,4,3,11,1,1,?
265,16,20,43,0,5,?
58,0,4,0,0,0,?
266,14,20,51,1,12,?
496,38,38,106,0,18,?
85,4,6,8,0,0,?
93,1,4,0,0,0,?
167,2,12,13,0,6,?
100,6,6,25,0,2,?
47,0,3,3,0,0,?
58,0,3,1,0,1,?
112,8,8,15,0,3,?
21,0,0,0,0,0,?
169,13,10,45,1,7,?
330,32,27,84,0,19,?
227,28,16,86,2,12,?
20,0,0,0,0,0,?
44,2,1,0,0,0,?
85,3,6,7,0,3,?
57,4,3,12,0,0,?
58,3,3,9,0,1,?
